title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
GUNS N' ROSES SOUNDCHECK IN LAS VEGAS T-MOBILE STADIUM APRIL 8,sJLiAmpRxmM,25317,185,13,51,0
Guns N' Roses Reunion 2016 pre Vegas Official Troubadour Live Performance HD,PlbWVdqpmoc,33384,522,0,69,0
Guns N Roses - Las Vegas 2016 - T-Mobile Arena,I8dj0kVUASE,21917,240,10,53,0
"GUNS N ROSES ""Paradise City"" Finale Las Vegas April 8, 2016 | Metal Injection",MawHMvWZAfo,16344,120,13,28,0
Guns N Roses - Las Vegas 2016 - T-Mobile Arena,IELvh16iIcA,57994,353,22,100,0
"Guns N' Roses - This I Love (Live at T-Mobile, Vegas 2016)",CivN3FBSM6E,52811,751,8,225,0
Guns N' Roses reunion - Welcome to the Jungle live (Las Vegas 2016),hgPddX5bgtE,241050,2069,27,356,0
Top 5 Underrated Guns,8kUziGUka_A,74109,3020,77,631,0
Guns N Roses - Live And Let Die - Las Vegas 04/08/2016,iWcjwyu1CVE,13693,201,1,34,0
Guns N' Roses - November Rain,8SbUC-UaAxE,562320301,1651731,63266,144448,0
Fallout 4: No Guns - Part 18 - The Horror Below,Jqwa5SgI8mU,27574,1113,10,308,0
Guns N' Roses - Sweet Child O' Mine,1w7OgIMMRc4,294141443,1107903,32240,78678,0
Guns N Roses - Welcome To The Jungle - Las Vegas 2016 - T-Mobile Arena,dtnIGtiXGjg,12306,76,23,16,0
Guns N' Roses - It's so Easy (  Las Vegas Live 8th April 2016 Reunion Tour HD),03cK04TBCro,8142,114,2,20,0
GUNS N' ROSES- MR. Brownstone Love in las vegas APRIL 8,3NlU7-rvWns,24922,218,2,36,0
NERF GUNS SHOOTOUT!,o_wUHs778o0,2619790,13356,1182,1230,0
Guns N Roses - Welcome To The Jungle - Las Vegas 2016 - T-Mobile Arena,FenCFuEdPNM,42872,192,24,35,0
â–ºBesiege Compilation - Interesting Guns and Mechanisms,LER_Pdj5AvI,2957,278,6,23,0
"Guns N' Roses Las Vegas Apr 8, 2016. Estranged Live!",gOC8Qcvns3U,19517,109,1,10,0
Guns N' Roses Troubadour - 01-04-2016,caS3pYnIBBo,53104,961,3,71,0
Guns N Roses - Chinese Democracy - Las Vegas 2016 - T-Mobile Arena,RMYCYg-Iosk,31154,182,22,42,0
Guns vs 1in Thick Steel Armor,AtopxCjs518,1422061,30271,371,4734,0
Guns N' Roses - Sweet Child Of Mine - Las Vegas 04/08/2016,zyCZgI6wRWg,22486,535,6,99,0
Guns N' Roses - Patience | Paradise City - Las Vegas 2016,ZUXt5MsmpFQ,159735,1091,10,208,0
"This I Love, Guns N' Roses, Las Vegas 4/8/16",7d81lUjKE68,65166,1309,23,257,0
Shooting Guns In Real Life!,MOIXahAWn2E,832958,10606,591,1843,0
Guns N' Roses - Chinese Democracy - Las Vegas 04/08/2016,FOQ6awN8Mg4,19271,291,2,55,0
"Top 10 ""UGLIEST GUNS"" in COD HISTORY - UPDATED (Top Ten - Top 10)",9LmPeL5HBKk,29645,4113,122,870,0
5 Guns The Government Doesn't Want You To Have...,OYjbSGO30K0,9237944,58389,6839,32326,0
"Better, Guns N' Roses, Las Vegas 4/8/16",ceIIov7ptYc,48373,861,18,190,0
Donald Trump's Guns,bW8R5gxuPtk,82296,1939,178,696,0
Guns N' Roses - Patience,ErvgV4P6Fzc,108020699,430948,10386,25853,0
Cowboy Action Guns,6m4VzpV7fc8,2179761,13976,816,1013,0
Guns n' Roses - Rocket Queen - Las Vegas 04/08/2016,J60jPiQ7S3w,53952,755,25,304,0
Guns N' Roses - Double Talkin Jive - Las Vega 04/08/2016,tzZZQn3DBYg,10623,98,2,17,0
Guns N' Roses - Estranged - Las Vegas 04/08/2016,obCk6UjvkBY,6096,161,0,25,0
"You Could Be Mine, Guns N' Roses, Las Vegas 4/8/16",M9hJllwPOwk,14262,327,2,58,0
Guns N Roses - Coma - Las Vegas 04/08/2016,EkFPE5E_rlQ,69708,1083,13,273,0
"GUNS N ROSES - November Rain ""Not In This Lifetime Tour"" Las Vegas 4.8.16",Y_YoRSDxXQ0,199290,3343,44,572,0
TOP 10 BEST GUNS IN BLACK OPS 3! (BO3 Top 10 BEST Weapons),VFOtUtS1MIU,29907,1650,51,453,0
Guns N Roses - My Michelle feat. Sebastian Bach 4/09/2016,HugOnrPh8-c,6052,119,2,17,0
"Rodrigo Duterte: Guns, goons and the presidency - 101 East",7NrIcuBf7iU,149594,1650,27,189,0
GUNS N' ROSES BETTER-CIVILWAR-WISH YOU WERE HERE- NOVEMBER RAIN LIVE IN LAS VEGAS,rL-v9AVRUbg,39212,405,5,100,0
FREE DLC GUNS! (Call of Duty: Black Ops 3 Free Guns),PfeecS0nKNU,1182269,37438,794,4675,0
"Coma, Guns N' Roses, Las Vegas 4/8/16",I8178qAcRz4,5480,176,1,25,0
"Welcome To the Jungle, Guns N' Roses, Las Vegas 4/9/16",i1mi-vGwJLU,5816,547,2,74,0
Guns N Roses - Civil War - Las Vegas 04/08/2016,V8i7AXySkSc,25932,449,5,52,0
Homemade 12 Gauge Slamfire Guns!!!,NVhceWZiYPQ,591970,5061,336,1196,0
Kids find GUN at park (Social Experiment) - Children with Guns,sI_zBj_JT8U,1357025,16199,708,1997,0
Guns N' Roses - TROUBADOUR 2016 (9 Minutes),2oBb-bxdwO4,563706,5415,191,1093,0
